Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 50.22     17.19    17.19 330008197     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_add
 17.79     23.28     6.09 653422521     0.00     0.00  FPR
 13.99     28.07     4.79 293345321     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_mul
  2.66     28.98     0.91 330008197     0.00     0.00  fpr_ulsh
  2.54     29.85     0.87 23922444     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_scaled
  1.87     30.49     0.64 337007533     0.00     0.00  fpr_ursh
  1.72     31.08     0.59  5122559     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_div
  1.26     31.51     0.43    76565     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_prng_refill
  1.17     31.91     0.40  3499668     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_expm_p63
  0.91     32.22     0.31  1024000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_fpr_sqrt
  0.88     32.52     0.30 44068864     0.00     0.00  mq_montymul
  0.61     32.73     0.21    10125     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_FFT
  0.51     32.91     0.17 157646107     0.00     0.00  fpr_sub
  0.38     33.03     0.13  3499668     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_gaussian0_sampler
  0.35     33.16     0.12  4092000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_split_fft
  0.34     33.27     0.12 20495360     0.00     0.00  mq_add
  0.26     33.36     0.09  1023000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_LDL_fft
  0.23     33.44     0.08     1000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_hash_to_point_ct
  0.22     33.52     0.07 36864000     0.00     0.00  fpr_half
  0.20     33.59     0.07  6999336     0.00     0.00  fpr_trunc
  0.19     33.65     0.07 30729123     0.00     0.00  fpr_neg
  0.18     33.71     0.06  2048000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_sampler
  0.15     33.76     0.05  2046000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_merge_fft
  0.13     33.80     0.04  3499668     0.00     0.00  prng_get_u64
  0.12     33.84     0.04  3499668     0.00     0.00  fpr_trunc
  0.09     33.88     0.03    22206     0.00     0.00  KeccakF1600_StatePermute
  0.09     33.91     0.03     3002     0.00     0.00  mq_NTT
  0.09     33.94     0.03     1000     0.00     0.02  ffSampling_fft_dyntree
  0.07     33.96     0.03 14344188     0.00     0.00  fpr_sqr
  0.07     33.98     0.03  2048000     0.00     0.00  fpr_ulsh
  0.06     34.01     0.02  3499668     0.00     0.00  BerExp
  0.06     34.02     0.02  2684170     0.00     0.00  modp_montymul
  0.06     34.05     0.02  2048000     0.00     0.00  fpr_rint
  0.06     34.06     0.02  1025024     0.00     0.00  mq_div_12289
  0.06     34.09     0.02     8000     0.00     0.00  smallints_to_fpr
  0.06     34.10     0.02     2558     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_iFFT
  0.04     34.12     0.01 10512749     0.00     0.00  prng_get_u8
  0.03     34.13     0.01 20495360     0.00     0.00  mq_sub
  0.03     34.14     0.01 11275264     0.00     0.00  mq_montysqr
  0.03     34.15     0.01  5547668     0.00     0.00  fpr_sqr
  0.03     34.16     0.01  5547668     0.00     0.00  fpr_ursh
  0.03     34.17     0.01  1332492     0.00     0.00  keccak_inc_squeeze
  0.03     34.18     0.01     2006     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_mulconst
  0.03     34.19     0.01     2000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_muladj_fft
  0.03     34.20     0.01     1001     0.00     0.00  mq_iNTT
  0.03     34.21     0.01     1000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_comp_encode
  0.03     34.22     0.01     1000     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_complete_private
  0.01     34.23     0.01 23811004     0.00     0.00  fpr_of
  0.01     34.23     0.01  3074048     0.00     0.00  mq_conv_small
  0.00     34.23     0.00 12547004     0.00     0.00  fpr_sub
  0.00     34.23     0.00  5122559     0.00     0.00  fpr_inv
  0.00     34.23     0.00  2082169     0.00     0.00  modp_add
  0.00     34.23     0.00  2048000     0.00     0.00  fpr_floor
  0.00     34.23     0.00  2048000     0.00     0.00  fpr_half
  0.00     34.23     0.00  2048000     0.00     0.00  fpr_irsh
  0.00     34.23     0.00  1332492     0.00     0.00  shake256_inc_squeeze
  0.00     34.23     0.00  1030098     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_mul_fft
  0.00     34.23     0.00  1028548     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_add
  0.00     34.23     0.00  1023002     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_sub
  0.00     34.23     0.00   879016     0.00     0.00  modp_sub
  0.00     34.23     0.00   111440     0.00     0.00  fpr_of
  0.00     34.23     0.00   109972     0.00     0.00  zint_mod_small_unsigned
