Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 50.93      1.65     1.65 148726270     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_add
 16.05      2.17     0.52 134090278     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_mul
  5.56      2.35     0.18 297680566     0.00     0.00  FPR
  4.32      2.49     0.14  2305791     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_div
  4.01      2.62     0.13 152284736     0.00     0.00  fpr_ursh
  3.40      2.73     0.11 152284736     0.00     0.00  fpr_trunc
  2.78      2.82     0.09 12046227     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_scaled
  1.54      2.87     0.05  1779233     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_expm_p63
  1.23      2.91     0.04 19985152     0.00     0.00  mq_montymul
  1.23      2.95     0.04    39159     0.00     0.00  PQCLEAN_FALCON512_CLEAN_prng_refill
  0.93      2.98     0.03  2044000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_split_fft
  0.93      3.01     0.03  1779233     0.00     0.00  PQCLEAN_FALCON512_CLEAN_gaussian0_sampler
  0.93      3.04     0.03   512000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_fpr_sqrt
  0.62      3.06     0.02 70513000     0.00     0.00  fpr_sub
  0.62      3.08     0.02 16384000     0.00     0.00  fpr_half
  0.62      3.10     0.02  5344575     0.00     0.00  prng_get_u8
  0.62      3.12     0.02  1779233     0.00     0.00  prng_get_u64
  0.62      3.14     0.02  1022000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_merge_fft
  0.62      3.16     0.02     9605     0.00     0.00  PQCLEAN_FALCON512_CLEAN_FFT
  0.31      3.17     0.01 14085456     0.00     0.00  fpr_neg
  0.31      3.18     0.01  1024000     0.00     0.00  fpr_half
  0.31      3.19     0.01  1024000     0.00     0.00  fpr_rint
  0.31      3.20     0.01   682528     0.00     0.00  modp_add
  0.31      3.21     0.01   517576     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_mul_fft
  0.31      3.22     0.01   511000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_LDL_fft
  0.31      3.23     0.01    15378     0.00     0.00  KeccakF1600_StatePermute
  0.31      3.24     0.01     3002     0.00     0.00  mq_NTT
  0.00      3.24     0.00 11993699     0.00     0.00  fpr_of
  0.00      3.24     0.00  9222912     0.00     0.00  mq_add
  0.00      3.24     0.00  9222912     0.00     0.00  mq_sub
  0.00      3.24     0.00  6662140     0.00     0.00  fpr_sqr
  0.00      3.24     0.00  6361699     0.00     0.00  fpr_sub
  0.00      3.24     0.00  5637632     0.00     0.00  mq_montysqr
  0.00      3.24     0.00  2803233     0.00     0.00  fpr_sqr
  0.00      3.24     0.00  2803233     0.00     0.00  fpr_ursh
