Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.93     0.00     2002     0.00     0.00  randombytes_linux_randombytes_getrandom
  0.00     15.93     0.00     2001     0.00     0.00  keccak_inc_finalize
  0.00     15.93     0.00     2001     0.00     0.00  keccak_inc_init
  0.00     15.93     0.00     2001     0.00     0.00  shake256_inc_ctx_release
  0.00     15.93     0.00     2001     0.00     0.00  shake256_inc_finalize
  0.00     15.93     0.00     2001     0.00     0.00  shake256_inc_init
  0.00     15.93     0.00     2000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_muladj_fft
  0.00     15.93     0.00     1957     0.00     0.00  modp_NTT2_ext
  0.00     15.93     0.00     1764     0.00     0.00  modp_iNTT2_ext
  0.00     15.93     0.00     1536     0.00     0.00  zint_one_to_plain
  0.00     15.93     0.00     1492     0.00     0.00  zint_mul_small
  0.00     15.93     0.00     1026     0.00     0.00  mkgauss
  0.00     15.93     0.00     1000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_comp_encode
  0.00     15.93     0.00     1000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_complete_private
  0.00     15.93     0.00     1000     0.00     0.02  PQCLEAN_FALCON512_CLEAN_crypto_sign_signature
  0.00     15.93     0.00     1000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_is_short_half
  0.00     15.93     0.00     1000     0.00     0.00  PQCLEAN_FALCON512_CLEAN_prng_init
  0.00     15.93     0.00     1000     0.00     0.02  PQCLEAN_FALCON512_CLEAN_sign_dyn
  0.00     15.93     0.00     1000     0.00     0.02  do_sign
  0.00     15.93     0.00     1000     0.00     0.02  do_sign_dyn
  0.00     15.93     0.00     1000     0.00     0.00  fpr_neg
  0.00     15.93     0.00     1000     0.00     0.00  mq_poly_montymul_ntt
  0.00     15.93     0.00     1000     0.00     0.00  mq_poly_tomonty
  0.00     15.93     0.00      993     0.00     0.00  modp_div
  0.00     15.93     0.00      993     0.00     0.00  modp_mkgm2
  0.00     15.93     0.00      960     0.00     0.00  modp_Rx
  0.00     15.93     0.00      880     0.00     0.00  zint_finish_mod
  0.00     15.93     0.00      592     0.00     0.00  poly_big_to_fp
  0.00     15.93     0.00      518     0.00     0.00  poly_sub_scaled
  0.00     15.93     0.00      440     0.00     0.00  zint_co_reduce_mod
  0.00     15.93     0.00      440     0.00     0.00  zint_negate
  0.00     15.93     0.00      290     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_mul_autoadj_fft
  0.00     15.93     0.00      220     0.00     0.00  zint_co_reduce
  0.00     15.93     0.00      175     0.00     0.00  zint_rebuild_CRT
  0.00     15.93     0.00       56     0.00     0.00  poly_sub_scaled_ntt
  0.00     15.93     0.00       44     0.00     0.00  make_fg_step
  0.00     15.93     0.00       19     0.00     0.00  align_fpr
  0.00     15.93     0.00       16     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_adj_fft
  0.00     15.93     0.00        9     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_invnorm2_fft
  0.00     15.93     0.00        8     0.00     0.00  make_fg
  0.00     15.93     0.00        7     0.00     0.00  align_u32
  0.00     15.93     0.00        7     0.00     0.06  solve_NTRU_intermediate
  0.00     15.93     0.00        4     0.00     0.00  modp_poly_rec_res
  0.00     15.93     0.00        3     0.00     0.00  PQCLEAN_FALCON512_CLEAN_trim_i8_encode
  0.00     15.93     0.00        2     0.00     0.00  poly_big_to_small
  0.00     15.93     0.00        2     0.00     0.00  poly_small_mkgauss
  0.00     15.93     0.00        2     0.00     0.00  poly_small_sqnorm
  0.00     15.93     0.00        2     0.00     0.00  poly_small_to_fp
  0.00     15.93     0.00        1     0.00     0.00  PQCLEAN_FALCON512_CLEAN_compute_public
  0.00     15.93     0.00        1     0.00     0.46  PQCLEAN_FALCON512_CLEAN_crypto_sign_keypair
  0.00     15.93     0.00        1     0.00     0.46  PQCLEAN_FALCON512_CLEAN_keygen
  0.00     15.93     0.00        1     0.00     0.00  PQCLEAN_FALCON512_CLEAN_modq_encode
  0.00     15.93     0.00        1     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_add_muladj_fft
  0.00     15.93     0.00        1     0.00     0.00  PQCLEAN_FALCON512_CLEAN_poly_div_autoadj_fft
  0.00     15.93     0.00        1     0.00    15.93  run_falcon512_sign
  0.00     15.93     0.00        1     0.00     0.46  solve_NTRU
  0.00     15.93     0.00        1     0.00     0.00  solve_NTRU_binary_depth0
  0.00     15.93     0.00        1     0.00     0.00  solve_NTRU_binary_depth1
  0.00     15.93     0.00        1     0.00     0.00  solve_NTRU_deepest
  0.00     15.93     0.00        1     0.00     0.00  zint_bezout

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.06% of 15.93 seconds

index % time    self  children    called     name
                0.00   15.93       1/1           main [2]
[1]    100.0    0.00   15.93       1         run_falcon512_sign [1]
                0.00   15.47    1000/1000        PQCLEAN_FALCON512_CLEAN_crypto_sign_signature [3]
                0.00    0.46       1/1           PQCLEAN_FALCON512_CLEAN_crypto_sign_keypair [23]
                0.00    0.00       1/2002        PQCLEAN_randombytes [119]
-----------------------------------------------
                                                 <spontaneous>
[2]    100.0    0.00   15.93                 main [2]
