Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.81     0.00       10     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_invnorm2_fft
  0.00      6.81     0.00        9     0.00     0.00  make_fg
  0.00      6.81     0.00        9     0.00     0.00  make_fg_step
  0.00      6.81     0.00        8     0.00     0.00  align_u32
  0.00      6.81     0.00        8     0.00     0.04  solve_NTRU_intermediate
  0.00      6.81     0.00        6     0.00     0.00  poly_small_mkgauss
  0.00      6.81     0.00        6     0.00     0.00  poly_small_sqnorm
  0.00      6.81     0.00        4     0.00     0.00  modp_poly_rec_res
  0.00      6.81     0.00        3     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_trim_i8_encode
  0.00      6.81     0.00        2     0.00     0.00  poly_big_to_fp.constprop.0
  0.00      6.81     0.00        2     0.00     0.00  poly_big_to_fp.constprop.1
  0.00      6.81     0.00        2     0.00     0.00  poly_small_to_fp
  0.00      6.81     0.00        1     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_compute_public
  0.00      6.81     0.00        1     0.00     0.34  PQCLEAN_FALCON1024_CLEAN_crypto_sign_keypair
  0.00      6.81     0.00        1     0.00     0.34  PQCLEAN_FALCON1024_CLEAN_keygen
  0.00      6.81     0.00        1     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_modq_encode
  0.00      6.81     0.00        1     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_add_muladj_fft
  0.00      6.81     0.00        1     0.00     0.00  PQCLEAN_FALCON1024_CLEAN_poly_div_autoadj_fft
  0.00      6.81     0.00        1     0.00     6.81  run_falcon1024_sign
  0.00      6.81     0.00        1     0.00     0.34  solve_NTRU
  0.00      6.81     0.00        1     0.00     0.00  solve_NTRU_binary_depth0
  0.00      6.81     0.00        1     0.00     0.00  solve_NTRU_deepest
  0.00      6.81     0.00        1     0.00     0.00  zint_bezout
  0.00      6.81     0.00        1     0.00     0.00  zint_rebuild_CRT.constprop.0

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.15% of 6.81 seconds

index % time    self  children    called     name
                0.00    6.81       1/1           main [2]
[1]    100.0    0.00    6.81       1         run_falcon1024_sign [1]
                0.00    6.47    1000/1000        PQCLEAN_FALCON1024_CLEAN_crypto_sign_signature [3]
                0.00    0.34       1/1           PQCLEAN_FALCON1024_CLEAN_crypto_sign_keypair [18]
                0.00    0.00       1/2002        randombytes_linux_randombytes_getrandom [125]
                0.00    0.00       1/2002        PQCLEAN_randombytes [124]
-----------------------------------------------
                                                 <spontaneous>
[2]    100.0    0.00    6.81                 main [2]
                0.00    6.81       1/1           run_falcon1024_sign [1]
-----------------------------------------------
